taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Evynnis_ehrenbergii,1196.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Sparidae,Evynnis,Evynnis ehrenbergii,99.0
Evynnis_tumifrons,1018.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Sparidae,Dentex,Dentex tumifrons,98.0
Exocoetus_volitans,173.4,Cai_etal_2025,1.0,Animalia,Chordata,,Beloniformes,Exocoetidae,Exocoetus,Exocoetus volitans,99.0
Exoglossum_maxillingua,0.75,Pappantoniou_1984,,Animalia,Chordata,,Cypriniformes,Cyprinidae,Exoglossum,Exoglossum maxillingua,99.0
Exostoma_labiatum,10.9,Cai_etal_2025,1.0,Animalia,Chordata,,Siluriformes,Sisoridae,Exostoma,Exostoma labiatum,99.0
Exyrias_puntang,47.3,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Exyrias,Exyrias puntang,99.0
Facciolella_oxyrhyncha,223.8,Cai_etal_2025,1.0,Animalia,Chordata,,Anguilliformes,Nettastomatidae,Facciolella,Facciolella oxyrhyncha,99.0
Favonigobius_gymnauchen,13.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Favonigobius,Favonigobius gymnauchen,99.0
Favonigobius_reichei,12.7,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gobiidae,Favonigobius,Favonigobius reichei,99.0
Ferdauia_ferdau,8000.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Carangidae,Carangoides,Ferdauia ferdau,97.0
Ferrarissoaresia_meridionalis,2.56372085402673,fishbase; Froese_2015,,Animalia,Chordata,,Siluriformes,Auchenipteridae,Centromochlus,Centromochlus meridionalis,98.0
Fistularia_commersonii,4631.9,Cai_etal_2025,1.0,Animalia,Chordata,,Syngnathiformes,Fistulariidae,Fistularia,Fistularia commersonii,99.0
Fistularia_petimba,5736.5,Cai_etal_2025,1.0,Animalia,Chordata,,Syngnathiformes,Fistulariidae,Fistularia,Fistularia petimba,99.0
Fistularia_tabacaria,279.010009765625,fishbase,1.0,Animalia,Chordata,,Syngnathiformes,Fistulariidae,Fistularia,Fistularia tabacaria,99.0
Floridichthys_polyommus,213.100006103516,fishbase,1.0,Animalia,Chordata,,Cyprinodontiformes,Cyprinodontidae,Floridichthys,Floridichthys polyommus,99.0
Folifer_brevifilis,626.200012207031,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Folifer,Folifer brevifilis,99.0
Formosania_chenyiyui,5.0,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Balitoridae,Formosania,Formosania chenyiyui,99.0
Formosania_lacustre,11.2,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Balitoridae,Formosania,Formosania lacustre,99.0
Forsterygion_lapillum,2.1,Killen_etal_2016,1.0,Animalia,Chordata,,Perciformes,Tripterygiidae,Forsterygion,Forsterygion lapillum,99.0
Fowlerichthys_radiosus,57.2000007629394,fishbase,1.0,Animalia,Chordata,,Lophiiformes,Antennariidae,Fowlerichthys,Fowlerichthys radiosus,99.0
Franciscodoras_marmoratus,614.0,fishbase,1.0,Animalia,Chordata,,Siluriformes,Doradidae,Franciscodoras,Franciscodoras marmoratus,99.0
Fundulopanchax_amieti,1.7,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Fundulopanchax,Fundulopanchax amieti,99.0
Fundulopanchax_filamentosus,0.8,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Fundulopanchax,Fundulopanchax filamentosus,99.0
Fundulopanchax_gardneri_gardneri,2.0,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Fundulopanchax,Fundulopanchax gardneri,98.0
Fundulopanchax_scheeli,1.0,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Fundulopanchax,Fundulopanchax scheeli,99.0
Fundulopanchax_sjostedti,13.0,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Nothobranchiidae,Fundulopanchax,Fundulopanchax sjostedti,99.0
Fundulus_bermudae,19.0735417139821,fishbase,1.0,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus bermudae,99.0
Fundulus_chrysotus,0.832352448204529,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus chrysotus,99.0
Fundulus_confluentus,5.18264745090563,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus confluentus,99.0
Fundulus_diaphanus,1.94172723122535,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus diaphanus,99.0
Fundulus_diaphanus_diaphanus,5.5,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus diaphanus,98.0
Fundulus_grandis,12.1264659535697,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus grandis,99.0
Fundulus_heteroclitus,9.5377945847939,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,99.0
Fundulus_heteroclitus_heteroclitus,59.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,98.0
Fundulus_olivaceus,5.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus olivaceus,99.0
Fundulus_parvipinnis,4.78128215571906,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus parvipinnis,97.0
Fundulus_pulvereus,3.22228471146167,fishbase; Froese_2014,,Animalia,Chordata,,Cyprinodontiformes,Fundulidae,Fundulus,Fundulus pulvereus,99.0
