mass_g,kingdom,phylum,class,order,family,genus,species
9.1,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris manoensis
12.3,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris mariquensis
8.7,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris mediocris
5.8,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris minullus
8.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris moreaui
4.5,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris nectarinioides
7.0,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anabathmis,Anabathmis newtonii
11.2,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra olivacea
11.2,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra oritis
7.33333333333333,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris osea
6.9,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris pulchellus
11.5995689575087,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia purpureiventris
6.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris regius
6.5,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anabathmis,Anabathmis reichenbachii
14.75,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Drepanorhynchus,Drepanorhynchus reichenowi
11.2,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Chalcomitra,Chalcomitra rubescens
10.0,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris rufipennis
7.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anthreptes,Anthreptes seimundi
10.3,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Chalcomitra,Chalcomitra senegalensis
13.05,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris shelleyi
6.15,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris stuhlmanni
16.7,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris superbus
15.0880747612146,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Nectarinia,Nectarinia tacazze
8.2,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris talatala
22.35,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Dreptes,Dreptes thomensis
5.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris venustus
10.05,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra veroxii
11.6,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cyanomitra,Cyanomitra verticalis
9.55,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Anthobaphes,Anthobaphes violacea
32.5,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Nectogale,Nectogale elegans
237.49,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys apicalis
237.49,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys magdalenae
237.49,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys palmipes
257.5,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys rattus
248.8,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys rattus
190.748,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys squamipes
92.6,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus,Necturus beyeri
220.1,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus,Necturus maculosus
183700.0,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion,Negaprion brevirostris
80.0,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nelsonia,Nelsonia neotomodon
0.0065,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nematobrachion,Nematobrachion boopis
0.0075,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Hansarsia,Hansarsia megalops
17.5,Animalia,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Nematostella,Nematostella vectensis
200000.0,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,Rhizostomatidae,Nemopilema,Nemopilema nomurai
16.425,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Nemosia,Nemosia pileata
0.0006,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Nemotelus,Nemotelus pantherina
0.000101879,Animalia,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemurella,Nemurella pictetii
6.05,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus albipes
11.49,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus aquilonius
8.61,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus fulvus
11.36,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus kunapalari
6.1,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Neobatrachus,Neobatrachus pelobatoides
